"Date","Production Total [MWh]","Hydro [MWh]","Nuclear [MWh]","Solar [MWh]","Thermal [MWh]","Wind Onshore [MWh]","Other [MWh]","Consumption Total [MWh]","Metered [MWh]","Profiled [MWh]","Price","temperature_2m (°C)","cloud_cover (%)","wind_speed_100m (km/h)","gas pr","oil pr"
"2017-06-12",204706.701913,17541.443246,148217.45,222.124055,7185.590176,23796.696991,7743.397445,203793.333107,149335.648981,54457.684126,23.39041666666667,14.842361111111108,77.87500000000001,23.393055555555556,25.57,401.55
"2017-06-13",199746.621502,18593.175632,148512.39,241.942767,6956.25669,17735.638543,7707.21787,200281.608492,145869.868568,54411.739924,24.6425,12.797916666666667,63.45833333333335,25.94583333333333,25.57,401.55
"2017-06-14",193458.069504,23876.136867,148034.24,398.600839,6680.222121,6790.283655,7678.586022,199386.042286,146981.376738,52404.665548,32.59208333333333,16.436805555555555,22.222222222222225,12.20625,25.57,401.55
"2017-06-15",189407.327869,23780.749331,147049.51,348.684402,6528.627754,4107.464026,7592.292356,194849.393817,144170.313417,50679.0804,29.43416666666667,17.69097222222223,56.916666666666664,11.617361111111112,25.57,401.55
"2017-06-16",179964.134113,19520.563349,144200.21,171.060351,5376.219261,3531.583004,7164.498148,188845.186668,137734.45497,51110.731698,23.594166666666666,16.45277777777778,99.02083333333333,13.75,25.57,401.55
"2017-06-17",180070.588196,17515.060143,147401.86,390.317171,6830.169204,4616.816976,3316.364702,168350.719764,118604.438489,49746.281275,21.914583333333333,17.869444444444447,76.41666666666666,10.389583333333333,25.57,401.55
"2017-06-18",191320.854579,16084.915641,146109.38,395.767588,6307.287585,22416.454715,7.04905,168073.96942,118487.259403,49586.710017,23.801249999999996,20.48125,59.51388888888889,26.727083333333333,25.57,401.55
"2017-06-19",186922.229323,20047.27904,142848.84,441.049334,6079.980649,17498.17104,6.90926,197444.818505,148375.717345,49069.10116,26.20916666666667,18.575694444444448,60.583333333333336,21.14930555555556,25.57,401.55
"2017-06-20",190562.363077,17881.400794,142490.715,417.527247,5589.818045,24173.594541,9.30745,196559.864929,146630.849935,49929.014994,25.677500000000002,14.89652777777778,49.67361111111111,24.47013888888889,25.57,401.55
"2017-06-21",188563.788188,21350.430418,145846.161,436.095966,7256.730768,13666.937796,7.43224,199636.710773,148366.650951,51270.059822,30.736666666666668,14.147222222222224,37.159722222222214,23.56041666666667,25.57,401.55
